Title,Artist,Creation_Date,estimate_year,url,img_URL,Medium,height_cm,width_cm,Accession_number
Elegance,Samuel John Peploe,,,https://artuk.org/discover/artworks/elegance-124858/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_302-001.jpg,oil on panel,35.5,30.0,KIRMG_302
Head of a Girl (Betty),Samuel John Peploe,c.1922,1922,https://artuk.org/discover/artworks/head-of-a-girl-betty-215359/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/SS/DGG/SS_DGG_DGET_223D-001.jpg,oil on canvas,59.6,49.3,DGDET 223D
Kirkcudbright,Samuel John Peploe,,,https://artuk.org/discover/artworks/kirkcudbright-211473/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/SS/DGK/SS_DGK_SM_1992_18_01-001.jpg,oil on canvas,52.3,63.5,STEWM_1992.18.01
"The Tolbooth, Kirkcudbright",Samuel John Peploe,,,https://artuk.org/discover/artworks/the-tolbooth-kirkcudbright-211472/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/SS/DGK/SS_DGK_SM_2003_27_01-001.jpg,oil on panel,40.0,31.7,STEWM_2003.27.01
Still Life with Plaster Cast,Samuel John Peploe,c.1931,1931,https://artuk.org/discover/artworks/still-life-with-plaster-cast-211605/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_31-001.jpg,oil on canvas,55.9,51.4,GMA 31
Barra,Samuel John Peploe,1903,1903,https://artuk.org/discover/artworks/barra-211577/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1933-001.jpg,oil on wood,15.5,23.9,GMA 1933
Iona Study,Samuel John Peploe,1920s,1920,https://artuk.org/discover/artworks/iona-study-211582/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1943-001.jpg,oil on panel,22.6,30.5,GMA 1943
Veules-les-Roses,Samuel John Peploe,c.1910–1911,1910,https://artuk.org/discover/artworks/veules-les-roses-211594/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_909-001.jpg,oil on board,35.6,27.0,GMA 909
"Game of Tennis, Luxembourg Gardens",Samuel John Peploe,c.1906,1906,https://artuk.org/discover/artworks/game-of-tennis-luxembourg-gardens-211591/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1944-001.jpg,oil on wood,16.1,23.8,GMA 1944
Still Life,Samuel John Peploe,,,https://artuk.org/discover/artworks/still-life-218431/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/WMRII/FWF/WMRII_FWF_PCF26-001.jpg,oil on canvas,49.5,54.5,FWAF_RF28
Boy Reading,Samuel John Peploe,c.1921,1921,https://artuk.org/discover/artworks/boy-reading-186669/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/EDII/RSA/EDII_RSA_1995_032-001.jpg,oil on canvas,76.3,64.0,1995.032
A Still Life of Roses,Samuel John Peploe,c.1931,1931,https://artuk.org/discover/artworks/a-still-life-of-roses-129432/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/PKA/PKC/PKA_PKC_2_181A-001.jpg,oil on canvas,45.7,40.6,2_181A
Chops,Samuel John Peploe,1925–1930,1928,https://artuk.org/discover/artworks/chops-107558/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag010713-001.jpg,oil on canvas,45.3,40.5,ABDAG010713
"Cathedral Rock, Iona",Samuel John Peploe,1920,1920,https://artuk.org/discover/artworks/cathedral-rock-iona-107564/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag010719-001.jpg,oil on board,38.2,45.6,ABDAG010719
Jeannie Blyth,Samuel John Peploe,c.1905,1905,https://artuk.org/discover/artworks/jeannie-blyth-107571/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag004091-001.jpg,oil on canvas,61.1,51.0,ABDAG004091
Boy Reading (The Artist's Son),Samuel John Peploe,c.1903,1903,https://artuk.org/discover/artworks/boy-reading-the-artists-son-107550/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag010705-001.jpg,oil on canvas,50.7,40.8,ABDAG010705
Still Life,Samuel John Peploe,,,https://artuk.org/discover/artworks/still-life-93691/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/EDI/CITY/EDI_CITY_CAC_4_1964-001.jpg,oil on panel,26.7,34.8,CAC4_1964
Still Life,Samuel John Peploe,c.1906–1907,1906,https://artuk.org/discover/artworks/still-life-4703/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CAM/CCF/CAM_CCF_700-001.jpg,oil on panel,24.4,34.9,700
Summer New Abbey,Samuel John Peploe,,,https://artuk.org/discover/artworks/summer-new-abbey-124851/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_572-001.jpg,oil on canvas,43.7,52.0,KIRMG_572
Wind,Samuel John Peploe,1910,1910,https://artuk.org/discover/artworks/wind-124868/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_327-001.jpg,oil on panel,18.5,24.0,KIRMG_327
Iona Landscape,Samuel John Peploe,,,https://artuk.org/discover/artworks/iona-landscape-124880/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_188-001.jpg,oil on panel,36.5,44.0,KIRMG_188
Roses,Samuel John Peploe,,,https://artuk.org/discover/artworks/roses-124853/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_13-001.jpg,oil on canvas,46.0,41.0,KIRMG_13
Blue and White Teapot,Samuel John Peploe,1917,1917,https://artuk.org/discover/artworks/blue-and-white-teapot-124873/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_300-001.jpg,oil on canvas,48.0,57.5,KIRMG_300
"Luxembourg Gardens, Paris",Samuel John Peploe,,,https://artuk.org/discover/artworks/luxembourg-gardens-paris-197486/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NTS/HDUN/NTS_CZN_99_122.jpg,oil on canvas,,,99.121
"Still Life with a Bowl of Fruit, Bottle, Cup and Glass",Samuel John Peploe,1927–1929,1928,https://artuk.org/discover/artworks/still-life-with-a-bowl-of-fruit-bottle-cup-and-glass-33934/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/BRM/BMAG/BRM_BMAG_1948P34-001.jpg,oil on canvas,48.9,54.6,1978L10
On the French Coast,Samuel John Peploe,c.1907,1907,https://artuk.org/discover/artworks/on-the-french-coast-211593/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1939-001.jpg,oil on wood,15.0,24.3,GMA 1939
Barra,Samuel John Peploe,1903,1903,https://artuk.org/discover/artworks/barra-211578/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1934-001.jpg,oil on panel,16.1,23.8,GMA 1934
The Black Bottle,Samuel John Peploe,c.1905,1905,https://artuk.org/discover/artworks/the-black-bottle-211589/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_26-001.jpg,oil on canvas,50.8,61.0,GMA 26
The Green Blouse,Samuel John Peploe,c.1904,1904,https://artuk.org/discover/artworks/the-green-blouse-211588/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_28-001.jpg,oil on wood,50.8,50.2,GMA 28
Self Portrait,Samuel John Peploe,c.1900,1900,https://artuk.org/discover/artworks/self-portrait-211584/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1950-001.jpg,oil on wood,50.9,30.3,GMA 1950
"Still Life, Pears and Grapes",Samuel John Peploe,c.1930,1930,https://artuk.org/discover/artworks/still-life-pears-and-grapes-211604/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_908-001.jpg,oil on canvas,30.5,38.3,GMA 908
Portrait of the Artist's Wife,Samuel John Peploe,c.1907,1907,https://artuk.org/discover/artworks/portrait-of-the-artists-wife-211592/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1948-001.jpg,oil on canvas,40.9,30.8,GMA 1948
Île de Bréhat,Samuel John Peploe,1911,1911,https://artuk.org/discover/artworks/le-de-brehat-211581/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1941-001.jpg,oil on canvas board,32.7,40.9,GMA 1941
A Vase of Pink Roses,Samuel John Peploe,,,https://artuk.org/discover/artworks/a-vase-of-pink-roses-218428/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/WMRII/FWF/WMRII_FWF_116651-001.jpg,oil on canvas,54.6,49.5,FWAF_RF27
Paris Plage,Samuel John Peploe,,,https://artuk.org/discover/artworks/paris-plage-218424/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/WMRII/FWF/WMRII_FWF_102081-001.jpg,oil on board,21.5,26.6,FWAF_RF25
Female Nude with Pitcher,Samuel John Peploe,,,https://artuk.org/discover/artworks/female-nude-with-pitcher-225929/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/EDII/ECA/EDII_ECA_PTG_0758.jpg,oil on canvas,106.7,71.0,2017.087
Souvenir,Samuel John Peploe,1905,1905,https://artuk.org/discover/artworks/souvenir-107548/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag010703-001.jpg,oil on canvas,32.3,43.0,ABDAG010703
"Stormy Weather, Iona",Samuel John Peploe,c.1929,1929,https://artuk.org/discover/artworks/stormy-weather-iona-107570/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag003040-001.jpg,oil on canvas,51.2,61.0,ABDAG003040
Still Life with Roses,Samuel John Peploe,c.1924,1924,https://artuk.org/discover/artworks/still-life-with-roses-107573/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag004093-001.jpg,oil on canvas,51.0,40.8,ABDAG004093
"Still Life, Roses and Apples",Samuel John Peploe,,,https://artuk.org/discover/artworks/still-life-roses-and-apples-107572/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag004092-001.jpg,oil on canvas,56.3,49.0,ABDAG004092
"Iona, Pink Rocks",Samuel John Peploe,,,https://artuk.org/discover/artworks/iona-pink-rocks-107574/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag004090-001.jpg,oil on canvas,50.9,56.0,ABDAG004090
Tulips in a Brown Jar,Samuel John Peploe,1933,1933,https://artuk.org/discover/artworks/tulips-in-a-brown-jar-107552/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag010707-001.jpg,oil on canvas,47.0,40.3,ABDAG010707
"Kirkcudbright, Street Corner",Samuel John Peploe,1917,1917,https://artuk.org/discover/artworks/kirkcudbright-street-corner-107565/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag010720-001.jpg,oil on board,31.0,41.0,ABDAG010720
Still Life with a Melon and Apples,Samuel John Peploe,,,https://artuk.org/discover/artworks/still-life-with-a-melon-and-apples-107567/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_004756-001.jpg,oil on canvas,30.2,45.8,ABDAG004756
Still Life with Pears and Grapes,Samuel John Peploe,,,https://artuk.org/discover/artworks/still-life-with-pears-and-grapes-93693/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/EDI/CITY/EDI_CITY_CAC_199_1964-001.jpg,oil on canvas,31.7,45.7,CAC199_1964
Still Life with Melon and Grapes,Samuel John Peploe,,,https://artuk.org/discover/artworks/still-life-with-melon-and-grapes-93692/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/EDI/CITY/EDI_CITY_CAC_288_1964-001.jpg,oil on canvas,39.4,45.7,CAC288_1964
The Yellow Jug,Samuel John Peploe,c.1930,1930,https://artuk.org/discover/artworks/the-yellow-jug-75362/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ES/BRHM/ES_BRHM_HM_000441-001.jpg,oil on canvas,46.2,41.0,FA000441
Still Life with Jug and Grapes,Samuel John Peploe,1920–1925,1922,https://artuk.org/discover/artworks/still-life-with-jug-and-grapes-207371/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CIA/CIA/CIA_CIA_P_1992_XX_1-001.jpg,oil on canvas,40.6,45.7,P.1992.XX.1
Nude in Studio Interior,Samuel John Peploe,1896,1896,https://artuk.org/discover/artworks/nude-in-studio-interior-225025/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/EDII/ECA/EDII_ECA_PCF0076-001.jpg,oil on canvas,108.0,72.0,CCECR0119
Tulips in a Pottery Vase,Samuel John Peploe,c.1912,1912,https://artuk.org/discover/artworks/tulips-in-a-pottery-vase-138833/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/GLA/HAG/GLA_HAG_41371-001.jpg,oil on canvas,45.6,40.7,GLAHA_41371
Bathers (Étaples),Samuel John Peploe,1906,1906,https://artuk.org/discover/artworks/bathers-taples-138827/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/GLA/HAG/GLA_HAG_43999-001.jpg,oil on canvas laid on board,18.2,23.8,GLAHA_43999
"Clouds and Sky, Iona",Samuel John Peploe,1928,1928,https://artuk.org/discover/artworks/clouds-and-sky-iona-138830/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/GLA/HAG/GLA_HAG_43996-001.jpg,oil on canvas,40.7,45.7,GLAHA_43996
"New Abbey, Dumfriesshire (Summer)",Samuel John Peploe,1926,1926,https://artuk.org/discover/artworks/new-abbey-dumfriesshire-summer-138829/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/GLA/HAG/GLA_HAG_44001-001.jpg,oil on canvas,56.2,76.1,GLAHA_44001
The Cathedral Rocks,Samuel John Peploe,,,https://artuk.org/discover/artworks/the-cathedral-rocks-124857/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_301-001.jpg,oil on panel,35.5,43.0,KIRMG_301
Tulips,Samuel John Peploe,,,https://artuk.org/discover/artworks/tulips-124861/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_571-001.jpg,oil on canvas,61.6,56.0,KIRMG_571
Luxembourg Gardens,Samuel John Peploe,,,https://artuk.org/discover/artworks/luxembourg-gardens-124855/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_216-001.jpg,oil on panel,33.0,26.0,KIRMG_216
Kirkcudbright,Samuel John Peploe,1916,1916,https://artuk.org/discover/artworks/kirkcudbright-124872/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_310-001.jpg,oil on panel,34.0,41.0,KIRMG_310
Iona,Samuel John Peploe,1930,1930,https://artuk.org/discover/artworks/iona-124877/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_308-001.jpg,oil on panel,51.0,71.0,KIRMG_308
Royan,Samuel John Peploe,1910,1910,https://artuk.org/discover/artworks/royan-124870/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_319-001.jpg,oil on panel,27.0,35.5,KIRMG_319
Flowers and Fruit with a Japanese Background,Samuel John Peploe,,,https://artuk.org/discover/artworks/flowers-and-fruit-with-a-japanese-background-124850/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_305-001.jpg,oil on canvas,40.5,45.5,KIRMG_305
Evening,Samuel John Peploe,,,https://artuk.org/discover/artworks/evening-124848/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_303-001.jpg,oil on panel,18.0,25.0,KIRMG_303
Still Life: Fruit,Samuel John Peploe,1931,1931,https://artuk.org/discover/artworks/still-life-fruit-124844/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_189-001.jpg,oil on canvas,51.0,62.0,KIRMG_189
Scottish Landscape,Samuel John Peploe,,,https://artuk.org/discover/artworks/scottish-landscape-124852/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_320-001.jpg,oil on canvas,30.0,37.5,KIRMG_320
Beach Scene,Samuel John Peploe,1910,1910,https://artuk.org/discover/artworks/beach-scene-124843/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_200-001.jpg,oil on panel,20.5,26.0,KIRMG_200
"Still Life, Teapot and Fruit",Samuel John Peploe,,,https://artuk.org/discover/artworks/still-life-teapot-and-fruit-124846/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_325-001.jpg,oil on canvas,41.0,46.0,KIRMG_325
Still Life,Samuel John Peploe,,,https://artuk.org/discover/artworks/still-life-38501/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/WYL/LMG/WYL_LMG_072_16-001.jpg,oil on canvas,55.8,45.7,LEEAG.PA.1932.0004
